APV        ,RR Number,PO Number,PO Date   ,Receipt Dt,Reference Document            ,BP Code / Received From         ,Item Code / Description      ,Quantity      ,Price       ,Receipt Amount,Cur,RR Rate ,Amount in PHP ,Reference Num  ,User     ,Item Type,Due Days,Due Date
0,4G0200263,P11000144,7/2/2025,7/29/2025,INV#CPT25-07-014-GTC          ,300002485 CRAFTZ PACKAGING THAI ,6212010058 PRINTED POLYBAG 22,"42,000.00",0.04,"2,058.00",USD,57.11,"117,532.38",               ,bpanagui ,Product,30,8/28/2025
0,4G0200263,P11000144,7/2/2025,7/29/2025,INV#CPT25-07-014-GTC          ,300002485 CRAFTZ PACKAGING THAI ,6212010058 PRINTED POLYBAG 22,"42,000.00",0.04,"2,058.00",USD,57.11,"117,532.38",               ,bpanagui ,Product,30,8/28/2025
0,4G0195465,P11000154,7/2/2025,7/3/2025,DR#7566                       ,"236000039 BORLONGAN, JOSELITO TA",9346600167 ROTOR SEAL PN90041,2,"2,207.10","4,414.20",PHP,56.341,"4,414.20",               ,jbuagas  ,Product,30,8/2/2025
0,4G0195467,P11000154,7/2/2025,7/3/2025,DR#7576                       ,"236000039 BORLONGAN, JOSELITO TA",9346600167 ROTOR SEAL PN90041,1,"2,207.10","2,207.10",PHP,56.341,"2,207.10",               ,jbuagas  ,Product,30,8/2/2025
0,4G0195468,P11000154,7/2/2025,7/3/2025,DR#7567                       ,"236000039 BORLONGAN, JOSELITO TA","6116180013 SCRAPER, RUBBER   ",1,"4,326.35","4,326.35",PHP,56.341,"4,326.35",               ,jbuagas  ,Product,30,8/2/2025
0,4G0195663,P11000177,7/4/2025,7/4/2025,INV NO.1241                   ,210000056 CELEBES CANNING CORPOR,4101980002 FISH ( FISHMEAL)  ,"94,727.00",0,0,PHP,0,0,               ,cws      ,Cost,30,8/3/2025
0,4G0196180,P11000197,7/5/2025,7/7/2025,FSWS 06-30-25                 ,280000394 TRINITY HOME INDUSTRIA,4101980002 FISH ( FISHMEAL)  ,508,7,"3,556.00",PHP,56.484,"3,556.00",               ,cws      ,Cost,30,8/6/2025
0,4G0197638,P11000274,7/10/2025,7/15/2025,DR#20939                      ,275000211 STENIEL MINDANAO PACKA,6108020048 CARTON TRAY       ,"6,000.00",7.2,"43,200.00",PHP,56.642,"43,200.00",               ,bpanagui ,Product,30,8/14/2025
0,4G0197643,P11000274,7/10/2025,7/15/2025,DR#20946                      ,275000211 STENIEL MINDANAO PACKA,6108020048 CARTON TRAY       ,"5,000.00",7.2,"36,000.00",PHP,56.642,"36,000.00",               ,bpanagui ,Product,30,8/14/2025
0,4G0197826,P11000274,7/10/2025,7/16/2025,DR#20960                      ,275000211 STENIEL MINDANAO PACKA,6108020048 CARTON TRAY       ,"3,300.00",7.2,"23,760.00",PHP,56.748,"23,760.00",               ,bpanagui ,Product,30,8/15/2025
0,4G0235874,P11000330,7/14/2025,2/23/2026,EGLV093500278319/IN5100077427 ,256000053 NGO CHEW HONG EDIBLE O,6102430013 OIL (SUNFLOWER)   ,"15,450.00",1.5,"23,314.05",USD,58.135,"1,355,362.30",               ,jcarbon  ,Product,30,3/25/2026
0,4G0205940,P11000392,7/17/2025,8/30/2025,DR#72740                      ,201000600 ALLIED PACIFIC PACKAGI,6209740005 LBL 603 EXPORT GEN,"8,860.00",2.1,"18,606.00",PHP,57.085,"18,606.00",               ,bpanagui ,Product,30,9/29/2025
0,4G0205941,P11000392,7/17/2025,8/30/2025,DR#72739                      ,201000600 ALLIED PACIFIC PACKAGI,6209740006 LBL 307 EXPORT GEN,"9,760.00",0.85,"8,296.00",PHP,57.085,"8,296.00",               ,bpanagui ,Product,30,9/29/2025
0,4G0206153,P11000401,7/17/2025,8/31/2025,BL#257069014/INV#1310-07      ,"300000317 SOLANO, LLC           ",6102640037 VE 31             ,"10,000.00",3.45,"34,500.00",USD,57.085,"1,969,432.50",               ,bpanagui ,Product,30,9/30/2025
0,4G0202101,P11000428,7/18/2025,8/8/2025,MB/HB#S2503799686             ,215000095 DHL GLOBAL FORWARDING ,6116570004 FLEXI BAG         ,15,400,"6,000.00",USD,57.197,"343,182.00",               ,jbuagas  ,Product,30,9/7/2025
0,4G0235873,P11000449,7/21/2025,2/23/2026,EGLV093500278319/IN5100077427 ,256000053 NGO CHEW HONG EDIBLE O,6102430013 OIL (SUNFLOWER)   ,"5,150.00",1.5,"7,771.35",USD,58.135,"451,787.43",               ,jcarbon  ,Product,30,3/25/2026
0,4G0229506,P11000455,7/21/2025,1/26/2026,DR#00034266                   ,275000355 SENSIENT TECHNOLOGIES ,6102430154 OIK9036 HVP FC550 ,22.68,"2,534.00","57,471.12",PHP,59.043,"57,471.12",               ,bpanagui ,Product,30,2/25/2026
0,4G0227867,P11000460,7/21/2025,1/17/2026,INV#0008921-IN                ,300002684 BLUE MOUNTAIN ENTERPRI,6102430068 OIK8611 CHICKEN TY,"3,280.00",6.94,"22,763.20",USD,59.44,"1,353,044.61",               ,bpanagui ,Product,30,2/16/2026
0,4G0233245,P11000466,7/21/2025,2/11/2026,SI#04822                      ,210000653 CIVIC MERCHANDISING IN,9507000083 SUPPLY OF LABOR AN,0.19,"92,539.70","18,128.53",PHP,58.481,"18,128.53",               ,cws      ,Cost,30,3/13/2026
0,4G0233246,P11000466,7/21/2025,2/11/2026,SI#04808                      ,210000653 CIVIC MERCHANDISING IN,9507000083 SUPPLY OF LABOR AN,0.34,"92,539.70","32,185.31",PHP,58.481,"32,185.31",               ,cws      ,Cost,30,3/13/2026
0,4G0233247,P11000466,7/21/2025,2/11/2026,SI#04823                      ,210000653 CIVIC MERCHANDISING IN,9507000083 SUPPLY OF LABOR AN,0.45,"92,539.70","42,225.87",PHP,58.481,"42,225.87",               ,cws      ,Cost,30,3/13/2026
