APV        ,RR Number,PO Number,PO Date   ,Receipt Dt,Reference Document            ,BP Code / Received From         ,Item Code / Description      ,Quantity      ,Price       ,Receipt Amount,Cur,RR Rate ,Amount in PHP ,Reference Num  ,User     ,Item Type,Due Days,Due Date
0,4G0239132,P11001379,9/16/2025,3/21/2026,DR#90199                      ,201000600 ALLIED PACIFIC PACKAGI,6209740008 LBL 300 EXPORT GEN,"50,390.00",0.36,"18,321.80",PHP,60.129,"18,321.80",               ,bpanagui ,Product,45,5/5/2026
0,4G0240344,P11001379,9/16/2025,3/12/2026,DR#74651                      ,201000600 ALLIED PACIFIC PACKAGI,6209740008 LBL 300 EXPORT GEN,"155,030.00",0.36,"56,368.91",PHP,58.913,"56,368.91",               ,bpanagui ,Product,45,4/26/2026
0,4G0240620,P11001462,2/12/2026,3/13/2026,SCI#37988                     ,"228000044 ALMUEDA, KARL ANGELO C","9150000932 ANGLE BAR,SS 4mm X",6,"3,500.00","21,000.00",PHP,59.531,"21,000.00",               ,mcastano ,Product,45,4/27/2026
0,4G0240518,P11001822,10/15/2025,3/13/2026,CI#0330                       ,"240000086 TAN, JOSEPH MAGANTE   ","6117190023 T-SHIRT, ROUND NEC",84,140,"11,760.00",PHP,59.531,"11,760.00",               ,cws      ,Cost,45,4/27/2026
0,4G0240518,P11001822,10/15/2025,3/13/2026,CI#0330                       ,"240000086 TAN, JOSEPH MAGANTE   ","6117190023 T-SHIRT, ROUND NEC",120,140,"16,800.00",PHP,59.531,"16,800.00",               ,cws      ,Cost,45,4/27/2026
0,4G0240518,P11001822,10/15/2025,3/13/2026,CI#0330                       ,"240000086 TAN, JOSEPH MAGANTE   ","6117190023 T-SHIRT, ROUND NEC",108,160,"17,280.00",PHP,59.531,"17,280.00",               ,cws      ,Cost,45,4/27/2026
0,4G0240518,P11001822,10/15/2025,3/13/2026,CI#0330                       ,"240000086 TAN, JOSEPH MAGANTE   ","6117190023 T-SHIRT, ROUND NEC",156,160,"24,960.00",PHP,59.531,"24,960.00",               ,cws      ,Cost,45,4/27/2026
0,4G0240518,P11001822,10/15/2025,3/13/2026,CI#0330                       ,"240000086 TAN, JOSEPH MAGANTE   ","6117190023 T-SHIRT, ROUND NEC",156,160,"24,960.00",PHP,59.531,"24,960.00",               ,cws      ,Cost,45,4/27/2026
0,4G0240518,P11001822,10/15/2025,3/13/2026,CI#0330                       ,"240000086 TAN, JOSEPH MAGANTE   ","6117190023 T-SHIRT, ROUND NEC",144,165,"23,760.00",PHP,59.531,"23,760.00",               ,cws      ,Cost,45,4/27/2026
0,4G0240571,P11001823,10/15/2025,3/13/2026,CI#0331                       ,"240000086 TAN, JOSEPH MAGANTE   ","6117190023 T-SHIRT, ROUND NEC",132,130,"17,160.00",PHP,59.531,"17,160.00",               ,cws      ,Cost,45,4/27/2026
0,4G0240571,P11001823,10/15/2025,3/13/2026,CI#0331                       ,"240000086 TAN, JOSEPH MAGANTE   ","6117190023 T-SHIRT, ROUND NEC",144,130,"18,720.00",PHP,59.531,"18,720.00",               ,cws      ,Cost,45,4/27/2026
0,4G0240571,P11001823,10/15/2025,3/13/2026,CI#0331                       ,"240000086 TAN, JOSEPH MAGANTE   ","6117190023 T-SHIRT, ROUND NEC",108,145,"15,660.00",PHP,59.531,"15,660.00",               ,cws      ,Cost,45,4/27/2026
0,4G0240571,P11001823,10/15/2025,3/13/2026,CI#0331                       ,"240000086 TAN, JOSEPH MAGANTE   ","6117190023 T-SHIRT, ROUND NEC",144,145,"20,880.00",PHP,59.531,"20,880.00",               ,cws      ,Cost,45,4/27/2026
0,4G0240571,P11001823,10/15/2025,3/13/2026,CI#0331                       ,"240000086 TAN, JOSEPH MAGANTE   ","6117190023 T-SHIRT, ROUND NEC",136,145,"19,720.00",PHP,59.531,"19,720.00",               ,cws      ,Cost,45,4/27/2026
0,4G0240571,P11001823,10/15/2025,3/13/2026,CI#0331                       ,"240000086 TAN, JOSEPH MAGANTE   ","6117190023 T-SHIRT, ROUND NEC",61,150,"9,150.00",PHP,59.531,"9,150.00",               ,cws      ,Cost,45,4/27/2026
0,4G0239484,P11001901,10/16/2025,3/9/2026,DR#15198                      ,"280000073 SALIGUMBA, MERLITA QUI",6117260008 APRON             ,150,65,"9,750.00",PHP,58.907,"9,750.00",               ,cws      ,Cost,45,4/23/2026
0,4G0243174,P11001958,10/21/2025,3/24/2026,DR#0843                       ,"228000070 WABERSICH, VIRGINIA CO","9144400107 LIGHT,EMERGENCY   ",6,"3,499.00","20,994.00",PHP,60.261,"20,994.00",               ,jbuagas  ,Product,45,5/8/2026
0,4G0243174,P11001958,10/21/2025,3/24/2026,DR#0843                       ,"228000070 WABERSICH, VIRGINIA CO","9144400107 LIGHT,EMERGENCY   ",6,"2,299.00","13,794.00",PHP,60.261,"13,794.00",               ,jbuagas  ,Product,45,5/8/2026
0,4G0243174,P11001958,10/21/2025,3/24/2026,DR#0843                       ,"228000070 WABERSICH, VIRGINIA CO","9144400101 LIGHT, EXIT       ",6,"1,999.00","11,994.00",PHP,60.261,"11,994.00",               ,jbuagas  ,Product,45,5/8/2026
0,4G0242227,P11002001,10/22/2025,3/20/2026,DR#52249                      ,210000159 COLUMBIA COMPUTER CENT,"6115180001 RIPS3 INK ,BK/L(C1",1,"24,500.00","24,500.00",PHP,60.129,"24,500.00",               ,mcastano ,Product,45,5/4/2026
0,4G0241396,P11002152,10/30/2025,3/17/2026,INV#CPT25-11-003-GTC          ,300002485 CRAFTZ PACKAGING THAI ,4712140042 POUCH 50g PETIO JE,"105,000.00",0.04,"4,200.00",USD,59.871,"251,458.20",               ,bpanagui ,Product,45,5/1/2026
0,4G0241381,P11002285,11/7/2025,3/17/2026,INV#CPT25-11-008-GTC          ,300002485 CRAFTZ PACKAGING THAI ,4712140041 POUCH 50g PETIO JE,"62,000.00",0.04,"2,666.00",USD,59.871,"159,616.09",               ,bpanagui ,Product,45,5/1/2026
0,4G0241384,P11002285,11/7/2025,3/17/2026,INV#CPT25-11-010-GTC          ,300002485 CRAFTZ PACKAGING THAI ,4712140042 POUCH 50g PETIO JE,"116,800.00",0.04,"4,672.00",USD,59.871,"279,717.31",               ,bpanagui ,Product,45,5/1/2026
0,4G0241389,P11002285,11/7/2025,3/17/2026,INV#CPT25-11-015-GTC          ,300002485 CRAFTZ PACKAGING THAI ,4712140039 POUCH 50g PETIO JE,"14,400.00",0.04,576,USD,59.871,"34,485.70",               ,bpanagui ,Product,45,5/1/2026
0,4G0241389,P11002285,11/7/2025,3/17/2026,INV#CPT25-11-015-GTC          ,300002485 CRAFTZ PACKAGING THAI ,4712140040 POUCH 50g PETIO JE,"18,000.00",0.04,720,USD,59.871,"43,107.12",               ,bpanagui ,Product,45,5/1/2026
0,4G0242226,P11002366,11/11/2025,3/20/2026,SI#42550/DR#207909            ,201000193 ARTEMIS SALT CORPORATI,"6116180004 SALT, ROCK        ","25,500.00",5.58,"142,290.00",PHP,60.129,"142,290.00",               ,jbuagas  ,Product,45,5/4/2026
0,4G0239166,P11002369,11/11/2025,3/7/2026,INV#B476                      ,300002667 ESPECIALIDADES ENZIMÁT,6116040002 ENZYME            ,180,35,"6,300.00",USD,58.469,"368,354.70",               ,jbuagas  ,Product,45,4/21/2026
0,4G0239166,P11002369,11/11/2025,3/7/2026,INV#B476                      ,300002667 ESPECIALIDADES ENZIMÁT,6116040002 ENZYME            ,"1,740.00",35,"60,900.00",USD,58.469,"3,560,762.10",               ,jbuagas  ,Product,45,4/21/2026
0,4G0238159,P11002370,11/11/2025,3/3/2026,INV#FKA-25-HMM-3(3)           ,210000449 CARGILL JAPAN LLC     ,6102370022 MISO PASTE        ,"7,232.00",1.41,"10,197.12",USD,58.093,"592,381.29",               ,bpanagui ,Product,45,4/17/2026
0,4G0238181,P11002371,11/11/2025,3/3/2026,BL#265105228/INV#D-1340-01    ,"300000317 SOLANO, LLC           ",6102640037 VE 31             ,"10,000.00",3.45,"34,500.00",USD,58.093,"2,004,208.50",               ,bpanagui ,Product,45,4/17/2026
0,4G0242579,P11002464,11/17/2025,3/21/2026,INV#2831349856                ,215000418 DSM NUTRITIONAL PRODUC,6102430050 OIK9081 VIT PREMIX,200,21.6,"4,320.00",USD,60.129,"259,757.28",               ,bpanagui ,Product,45,5/5/2026
0,4G0238319,P11002467,11/17/2025,3/4/2026,BL#WCS10010485/P11002467      ,300002936 VIOBIN PRODUCTS LLC   ,6102430244 OIK9016 WHEAT GERM,"4,000.00",4.3,"17,200.00",USD,58.309,"1,002,914.80",               ,bpanagui ,Product,45,4/18/2026
0,4G0241426,P11002477,11/18/2025,3/17/2026,INV#CPT25-12-005-GTC          ,300002485 CRAFTZ PACKAGING THAI ,6212010057 POUCH 94X160 PILLO,"135,000.00",0.04,"5,940.00",USD,59.871,"355,633.74",               ,bpanagui ,Product,45,5/1/2026
